,Name,Score rank,Popularity rank,Score,Episodes,Type,Link,Premiered,English name,Japanese name,Synonyms,Status,Aired,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Members Favorites,Members Total,Members Watching,Members Completed,Members On-Hold,Members Dropped,Members Plan to Watch,Members score 10,Members score 9,Members score 8,Members score 7,Members score 6,Members score 5,Members score 4,Members score 3,Members score 2,Members score 1
0,Fullmetal Alchemist: Brotherhood,1,3,9.17,  Episodes:  64  ,  Type:  TV,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,    Premiered:          Spring 2009          ,Fullmetal Alchemist: Brotherhood  ,鋼の錬金術師 FULLMETAL ALCHEMIST  ,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB  ",  Status:  Finished Airing  ,"  Aired:  Apr 5, 2009 to Jul 4, 2010  ",    Broadcast:    Sundays at 17:00 (JST)      ,"    Producers:          Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken  ","    Licensors:          Funimation,       Aniplex of America  ",    Studios:          Bones  ,  Source:  Manga  ,"  Genres:      ActionAction,     MilitaryMilitary,     AdventureAdventure,     ComedyComedy,     DramaDrama,     MagicMagic,     FantasyFantasy,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  173,586","2,434,616","187,320","1,771,109","82,312","35,724","358,151",765897,435273,217327,76959,22206,10272,3588,1707,2288,18196
1,Shingeki no Kyojin Season 3 Part 2,2,45,9.11,  Episodes:  10  ,  Type:  TV,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,    Premiered:          Spring 2019          ,Attack on Titan Season 3 Part 2  ,進撃の巨人 Season3 Part.2  ,,  Status:  Finished Airing  ,"  Aired:  Apr 29, 2019 to Jul 1, 2019  ",    Broadcast:    Mondays at 00:10 (JST)      ,"    Producers:          Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprise  ",    Licensors:          Funimation  ,    Studios:          Wit Studio  ,  Source:  Manga  ,"  Genres:      ActionAction,     DramaDrama,     FantasyFantasy,     MilitaryMilitary,     MysteryMystery,     ShounenShounen,     Super PowerSuper Power",  Duration:  23 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  38,512","1,328,142","59,076","1,150,821","5,924","3,560","108,761",417768,301150,138530,42133,10493,3672,1408,697,532,6034
2,Steins;Gate,3,10,9.11,  Episodes:  24  ,  Type:  TV,https://myanimelist.net/anime/9253/Steins_Gate,    Premiered:          Spring 2011          ,Steins;Gate  ,STEINS;GATE  ,,  Status:  Finished Airing  ,"  Aired:  Apr 6, 2011 to Sep 14, 2011  ",    Broadcast:    Wednesdays at 02:05 (JST)      ,"    Producers:          Frontier Works,       Media Factory,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus  ",    Licensors:          Funimation  ,    Studios:          White Fox  ,  Source:  Visual novel  ,"  Genres:      Sci-FiSci-Fi,     PsychologicalPsychological,     DramaDrama,     ThrillerThriller",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  148,085","1,917,452","124,257","1,214,037","66,497","38,869","473,792",499208,297420,152505,62680,23198,12080,5571,2555,1937,5897
3,Gintama°,4,335,9.09,  Episodes:  51  ,  Type:  TV,https://myanimelist.net/anime/28977/Gintama°,    Premiered:          Spring 2015          ,Gintama Season 4  ,銀魂°  ,Gintama' (2015)  ,  Status:  Finished Airing  ,"  Aired:  Apr 8, 2015 to Mar 30, 2016  ",    Broadcast:    Wednesdays at 18:00 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu  ","    Licensors:          Funimation,       Crunchyroll  ",    Studios:          Bandai Namco Pictures  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     Sci-FiSci-Fi,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  11,187","438,574","50,685","180,661","17,911","12,361","176,956",84623,41063,23297,11350,4241,2493,1016,687,1162,4785
4,Hunter x Hunter (2011),5,11,9.08,  Episodes:  148  ,  Type:  TV,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,    Premiered:          Fall 2011          ,Hunter x Hunter  ,HUNTER×HUNTER（ハンター×ハンター）  ,HxH (2011)  ,  Status:  Finished Airing  ,"  Aired:  Oct 2, 2011 to Sep 24, 2014  ",    Broadcast:    Sundays at 10:55 (JST)      ,"    Producers:          VAP,       Nippon Television Network,       Shueisha  ",    Licensors:          VIZ Media  ,    Studios:          Madhouse  ,  Source:  Manga  ,"  Genres:      ActionAction,     AdventureAdventure,     FantasyFantasy,     ShounenShounen,     Super PowerSuper Power",  Duration:  23 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  146,636","1,894,480","257,060","1,238,639","92,657","36,473","269,651",507561,348678,193848,76192,21573,9226,3322,1436,1185,4970
5,Ginga Eiyuu Densetsu,6,647,9.06,  Episodes:  110  ,  Type:  OVA,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,,Legend of the Galactic Heroes  ,銀河英雄伝説  ,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel  ",  Status:  Finished Airing  ,"  Aired:  Jan 8, 1988 to Mar 17, 1997  ",,"    Producers:          Kitty Films,       K-Factory  ",    Licensors:          Sentai Filmworks  ,"    Studios:          Artland,       Magic Bus  ",  Source:  Novel  ,"  Genres:      MilitaryMilitary,     Sci-FiSci-Fi,     SpaceSpace,     DramaDrama",  Duration:  26 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  12,878","244,812","27,110","55,361","15,714","6,267","140,360",31982,12164,7504,3763,1685,1023,505,290,521,2408
6,Gintama',7,376,9.06,  Episodes:  51  ,  Type:  TV,https://myanimelist.net/anime/9969/Gintama,    Premiered:          Spring 2011          ,Gintama Season 2  ,銀魂'  ,Gintama (2011)  ,  Status:  Finished Airing  ,"  Aired:  Apr 4, 2011 to Mar 26, 2012  ",    Broadcast:    Mondays at 18:00 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha  ","    Licensors:    None found, add some  ",    Studios:          Sunrise  ,  Source:  Manga  ,"  Genres:      ActionAction,     Sci-FiSci-Fi,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  5,919","392,969","28,052","202,822","11,372","7,537","143,186",79448,48184,26297,10339,3452,1761,733,359,458,3094
7,Gintama': Enchousen,8,671,9.03,  Episodes:  13  ,  Type:  TV,https://myanimelist.net/anime/15417/Gintama__Enchousen,    Premiered:          Fall 2012          ,Gintama: Enchousen  ,銀魂' 延長戦  ,"Gintama' (2012), Gintama' Overdrive, Kintama  ",  Status:  Finished Airing  ,"  Aired:  Oct 4, 2012 to Mar 28, 2013  ",    Broadcast:    Thursdays at 18:00 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus  ","    Licensors:    None found, add some  ",    Studios:          Sunrise  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     Sci-FiSci-Fi,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  2,323","237,857","8,247","152,368","2,911","2,116","72,215",54561,34383,18972,7325,2088,906,326,186,159,2170
8,Shingeki no Kyojin: The Final Season,9,76,9.01,  Episodes:  16  ,  Type:  TV,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,    Premiered:          Winter 2021          ,Attack on Titan Final Season  ,進撃の巨人 The Final Season  ,"Shingeki no Kyojin Season 4, Attack on Titan Season 4  ",  Status:  Finished Airing  ,"  Aired:  Dec 7, 2020 to Mar 29, 2021  ",    Broadcast:    Mondays at 00:10 (JST)      ,"    Producers:          Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprise  ",    Licensors:          Funimation  ,    Studios:          MAPPA  ,  Source:  Manga  ,"  Genres:      ActionAction,     MilitaryMilitary,     MysteryMystery,     Super PowerSuper Power,     DramaDrama,     FantasyFantasy,     ShounenShounen",  Duration:  23 min. per ep.  ,  Rating:  R - 17+ (violence & profanity)  ,"  Favorites:  43,486","1,082,138","367,773","542,144","13,290","5,744","153,187",305039,194815,92269,32541,10352,4137,2060,1035,922,13471
9,3-gatsu no Lion 2nd Season,10,530,8.99,  Episodes:  22  ,  Type:  TV,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,    Premiered:          Fall 2017          ,March Comes In Like A Lion 2nd Season  ,3月のライオン 第2シリーズ  ,Sangatsu no Lion Second Season  ,  Status:  Finished Airing  ,"  Aired:  Oct 14, 2017 to Mar 31, 2018  ",    Broadcast:    Saturdays at 23:00 (JST)      ,"    Producers:          Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory  ",    Licensors:          Aniplex of America  ,    Studios:          Shaft  ,  Source:  Manga  ,"  Genres:      DramaDrama,     GameGame,     SeinenSeinen,     Slice of LifeSlice of Life",  Duration:  25 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  11,615","292,468","21,246","163,995","7,825","3,496","95,906",57196,46981,25926,9132,2647,1057,364,187,98,904
10,Gintama.,11,726,8.98,  Episodes:  12  ,  Type:  TV,https://myanimelist.net/anime/34096/Gintama,    Premiered:          Winter 2017          ,Gintama Season 5  ,銀魂。  ,Gintama (2017)  ,  Status:  Finished Airing  ,"  Aired:  Jan 9, 2017 to Mar 27, 2017  ",    Broadcast:    Mondays at 01:35 (JST)      ,"    Producers:          TV Tokyo,       Aniplex,       Dentsu,       Shueisha  ","    Licensors:    None found, add some  ",    Studios:          Bandai Namco Pictures  ,  Source:  Manga  ,"  Genres:      ActionAction,     ComedyComedy,     HistoricalHistorical,     ParodyParody,     SamuraiSamurai,     Sci-FiSci-Fi,     ShounenShounen",  Duration:  24 min. per ep.  ,  Rating:  PG-13 - Teens 13 or older  ,"  Favorites:  2,122","220,073","12,350","125,047","3,621","2,420","76,635",44192,29032,16462,6348,2064,890,382,186,135,1739
